Class,Order,Family,Species,Common name,Taxonomy ID,Cervical,Thoracic,Lumbar,Sacral,Caudal,Annotation 1,Annotation 2,Annotation 3,Reference 1,Reference 2,Reference 3,Reference 4
Amphibia,Anura,Pipidae,Pipa pipa,Surinam toad,251750,1,6,0,1,3,Owen calls them Pipa monstrosa but Trueb and Cannatella in their 1986 paper on Pipa morphology in Herpetologica say this is an old synonym for Pipa pipa,,assuming that Rockova is correct that all Anura have 3 fused caudal,Owen R. 1853. Descriptive catalogue of the osteological series contained in the museum of the Royal College of Surgeons of England. London: Royal College of Surgeons.,,,
Amphibia,Anura,Pipidae,Xenopus laevis,African clawed frog,8355,1,7,0,1,4,thoracolumbar the information isn't explicitly in the text but can be inferred Fig. 3 and the discussion in the text where also the caudal is a urostyle from fused vertebrae they claim that all anura (frogs) have a single sacrum and then describe the several and varying caudal vertebrae or somites that fuse plus they have pictures,,,"Matsubara, Yoshiyuki, et al. ""Anatomical integration of the sacral–hindlimb unit coordinated by GDF11 underlies variation in hindlimb positioning in tetrapods."" Nature Ecology & Evolution 1.9 (2017): 1392-1399.","Zlatow, Anne L., et al. ""Axial skeletal malformations in genetically modified Xenopus laevis and Xenopus tropicalis."" Comparative Medicine 70.6 (2020): 532-541.","Ročková, Hana, and Zbyněk Roček. ""Development of the pelvis and posterior part of the vertebral column in the Anura."" Journal of Anatomy 206.1 (2005): 17-35.",
Amphibia,Anura,Pipidae,Xenopus tropicalis,Western clawed frog,8364,1,7,0,1,3, the information isn't explicitly in the text but can be inferred Fig. 3 and the discussion in the text where also the caudal is a urostyle from fused vertebrae the information isn't explicitly in the text but can be inferred Fig. 1 and the discussion in the text ,,,"Zlatow, Anne L., et al. ""Axial skeletal malformations in genetically modified Xenopus laevis and Xenopus tropicalis."" Comparative Medicine 70.6 (2020): 532-541.","Senevirathne, Gayani, et al. ""Ontogeny of the anuran urostyle and the developmental context of evolutionary novelty."" Proceedings of the National Academy of Sciences 117.6 (2020): 3034-3044.",,
Amphibia,Anura,Bombinatoridae,Bombina variegata,Yellow-bellied toad,8348,1,7,0,1,2,they claim that all anura (frogs) have a single sacrum and then describe the several and varying caudal vertebrae or somites that fuse plus they have pictures,,,"Ročková, Hana, and Zbyněk Roček. ""Development of the pelvis and posterior part of the vertebral column in the Anura."" Journal of Anatomy 206.1 (2005): 17-35.",,,
Amphibia,Anura,Bombinatoridae,Bombina bombina,European fire-bellied toad,8345,1,7,0,1,2,they claim that all anura (frogs) have a single sacrum and then describe the several and varying caudal vertebrae or somites that fuse plus they have pictures,,,"Ročková, Hana, and Zbyněk Roček. ""Development of the pelvis and posterior part of the vertebral column in the Anura."" Journal of Anatomy 206.1 (2005): 17-35.",,,
Amphibia,Anura,Alytidae,Discoglossus pictus,Painted frog,8351,1,7,0,1,3,they claim that all anura (frogs) have a single sacrum and then describe the several and varying caudal vertebrae or somites that fuse plus they have pictures,,,"Ročková, Hana, and Zbyněk Roček. ""Development of the pelvis and posterior part of the vertebral column in the Anura."" Journal of Anatomy 206.1 (2005): 17-35.",,,
Amphibia,Gymnophiona,Herpelidae,Herpele squalostoma,Congo caecilian,118254,1,121,0,0,2,https://portal.idigbio.org/portal/records/dae29ca6-dd5b-417a-b5ed-93ff0c731919,,,IDigBio: Yale Peabody Museum YPM HERA 015851.001,,,
Amphibia,Gymnophiona,Siphonopidae,Siphonops annulatus,Ringed caecilian,320579,1,162,0,0,5,https://portal.idigbio.org/portal/records/aa0791df-aae5-4615-b0db-819720891c1a,used Nussbaum table 3 to determine the caudal number,,IDigBio: Yale Peabody Museum YPM HERA 006026,,,
Amphibia,Gymnophiona,Siphonopidae,Microcaecilia dermatophaga,Tiny white caecilian,1415579,1,111.33,0,0,4,only total count is available,assuming one cervical and no sacral and no lumbar following Nussbaum,assuming caudal from Nussbaum table 3,"Wilkinson, Mark, et al. ""A new species of skin-feeding caecilian and the first report of reproductive mode in Microcaecilia (Amphibia: Gymnophiona: Siphonopidae)."" PLoS One 8.3 (2013): e57756.","Nussbaum, Ronald A., and Mark Wilkinson. ""On the classification and phylogeny of caecilians (Amphibia: Gymnophiona), a critical review."" Herpetological monographs 3.1989 (1989): 1-42.",,
Amphibia,Gymnophiona,Dermophiidae,Dermophis mexicanus,Mexican burrowing caecilian,118251,1,104.5,0,0,2,https://portal.idigbio.org/portal/records/2e7bfab1-3e8a-4755-ab34-f1fe7e2659c2,https://sketchfab.com/3d-models/dermophis-mexicanus-cas144523-ecc7dc363e1c434ba44cf219be88b5a0,,IDigBio: Yale Peabody Museum YPM HERA 015857.001,Blackburn lab: CAS144523,,
