Major clade,Genus,species,MHI1,N,N Atypical CTL2,CTL Mode3,C Mode,T Mode,L Mode,Trans-T Mode4,Trans-L Mode5,S Mode,N int. C/T6,N int. T/L7,N int. L/S8,TransN9,N int. trans-T/L10,Analysis 1,Analysis 211,Analysis 3,Analysis 412,Analysis 513,Analysis 614,Analysis 715,Analysis 816,Analysis 917,Analysis 1018
Primates,Nasalis,larvatus,0.041,49,1,26,7,12,7,10,9,3,0,0,0,8,0,FAST,FAST,FAST,ARB.,NON,NOT,QUA.,RUN.,MOB.,MOB.
Primates,Macaca,arctoides / fascicularis / fuscata / leonina / maura /  mulatta / nemestrina / nigra / silenus / sinica / sylvanus,0.211,1049,121,26,7,12,7,10,9,3,0,5,16,37,0,FAST,FAST,FAST,ARB.,NON,NOT,QUA.,RUN.,MOB.,MOB.
Primates,Theropithecus,gelada,0,28,0,26,7,13,6,10,9,3,0,0,0,4,0,FAST,FAST,FAST,TER.,NON,NOT,QUA.,RUN.,MOB.,MOB.
Primates,Papio,hamadryas / anubis / papio / cynocephalus,0.241,129,17,26,7,13,6,10,9,3,0,8,1,93,0,FAST,FAST,FAST,TER.,NON,NOT,QUA.,RUN.,MOB.,MOB.
Primates,Mandrillus,sphinx / leucophaeus,0.125,19,2,26,7,12,7,10,9,3,0,1,0,13,0,FAST,FAST,FAST,TER.,NON,NOT,QUA.,RUN.,MOB.,MOB.
Primates,Miopithecus,talapoin,0.133,15,2,26,7,13,6,10,9,3,0,0,0,5,1,FAST,FAST,FAST,ARB.,NON,NOT,QUA.,RUN.,MOB.,MOB.
Primates,Chlorocebus,aethiops / cynosurus / pygerythrus / sabaeus,0.262,28,7,26,7,12,7,-,-,3,0,2,0,-,-,FAST,FAST,FAST,TER.,NON,NOT,QUA.,RUN.,MOB.,MOB.
Primates,Cercopithecus,ascanius,0.095,21,1,26,7,12,7,-,-,3,0,3,0,-,-,FAST,FAST,FAST,ARB.,NON,NOT,QUA.,RUN.,MOB.,MOB.
Glires (rodents + lagomorphs),Lepus,alleni / americanus / townsendii / californicus /  europaeus,0.118,17,1,26,7,12,7,10,9,4,0,1,0,17,1,FAST,FAST,FAST,TER.,NON,NOT,QUA.,RUN.,MOB.,MOB.
Glires (rodents + lagomorphs),Microsciurus,alfari / flaviventer / mimulus,0,41,0,26,7,12,7,-,-,3,0,0,0,-,-,-,-,-,ARB.,NON,NOT,QUA.,RUN.,MOB.,MOB.
Glires (rodents + lagomorphs),Sciurus,carolinensis / niger,0.119,65,4,26,7,12,7,10,9,3,0,1,0,10,0,FAST,INT.,FAST,ARB.,NON,NOT,QUA.,RUN.,MOB.,MOB.
Glires (rodents + lagomorphs),Tamiasciurus,hudsonicus,0.118,17,1,26,7,12,7,10,9,3,0,2,1,16,3,FAST,INT.,SLOW,ARB.,NON,NOT,QUA.,RUN.,MOB.,MOB.
Glires (rodents + lagomorphs),Tamias,minimus / striatus,0.308,24,4,26,7,12.5,6.5,10,9,3,0,0,2,23,1,FAST,INT.,FAST,TER.,NON,NOT,QUA.,RUN.,MOB.,MOB.
Glires (rodents + lagomorphs),Marmota,marmota / monax / caligata,0.378,10,2,26,7,12,7,10,9,4,0,0,1,10,0,SLOW,SLOW,SLOW,TER.,NON,NOT,DIG.,AMBL.,MOB.,-
Glires (rodents + lagomorphs),Aplodontia,rufa,0.476,15,4,26,7,13,6,10,9,5,0,1,2,15,0,SLOW,SLOW,SLOW,TER.,NON,NOT,DIG.,OTH.,MOB.,-
Glires (rodents + lagomorphs),Coendou,prehensilis,0.590,13,5,28,7,15,6,12,9,3,1,2,0,13,2,SLOW,SLOW,SLOW,ARB.,NON,NOT,SUSP.,CLIM.,STAB.,DS CLIMB
